English,Tulu
You stay home,ಈರ್ ಇಲ್ಲಡ್ ಉಪ್ಪುಲೆ
She is cute,ಅಲ್ ಮುದ್ದು
He is great,ಆರ್ ಮಲ್ಲ
They are okay,ಅಕುಲು ಸರಿ ಉಲ್ಲೆರ್
You did it,ಈರ್ ಮಲ್ತರ್
I will help,ಯಾನ್ ಸಹಾಯ ಮಲ್ಪುವೆ
She is clever,ಅಲ್ ಬುದ್ಧಿವಂತೆರ್
He is nice,ಆರ್ ಎಡ್ಡೆ
We should sit,ನಮ ಕುಲ್ಲೊಡು
She is small,ಆಲ್ ಎಲ್ಯ ಉಲ್ಲೆ
He is big,ಆರ್ ಮಲ್ಲೆ
They are lazy,ಅಕುಲು ಸೋಮಾರಿಲು
We must join,ನಮ ಸೇರೊಡು
You keep going,ಈರ್ ಪೋವೊಂದು ಪೋಲೆ
I feel weak,ಎಂಕ್ ದುರ್ಬಲ ಆಪುಂಡು
He is helpful,ಆರ್ ಸಹಾಯ ಮಲ್ಪುವೆರ್
They are poor,ಅಕುಲು ಬಡವೆರ್
You wait now,ಈರ್ ಇತ್ತೆ ನಿರೀಕ್ಷೆ ಮಲ್ಪುಲೆ
I am shy,ಎಂಕ್ ನಾಚಿಕೆ ಉಂಡು
He is happy,ಆರ್ ಸಂತೋಷೊಡು ಉಲ್ಲೆರ್
We should stay,ನಮ ಉಪ್ಪೊಡು
I need peace,ಎಂಕ್ ಶಾಂತಿ ಬೋಡು
She is cool,ಅಲ್ ತಂಪು
They are neat,ಅವು ಎಡ್ಡೆ ಉಂಡು
We are free,ನಮ ಸ್ವತಂತ್ರ
You learn fast,ಈರ್ ಬೇಗ ಕಲ್ಪುಲೆ
I am strong,ಯಾನ್ ಗಟ್ಟಿ
She is slow,ಆಲ್ ನಿಧಾನ
He is cute,ಆರ್ ಮುದ್ದು
They are shy,ಅಕುಲು ನಾಚಿಕೆದಕುಲು
We must plan,ನಮ ಉಪಾಯ ಮಲ್ಪೋಡು
You are gentle,ಈರ್ ಸೌಮ್ಯ ಉಲ್ಲರ್
I will smile,ಯಾನ್ ನಗುವೆ
She is quiet,ಆಲ್ ಸುಮ್ಮನೆ ಉಲ್ಲೆ
They are silly,ಅವು ಮೂರ್ಖೆರ್
We are smart,ಎಂಕುಲು ಬುದ್ಧಿವಂತೆರ್
You stay still,ಈರ್ ನಿಶ್ಚಲವಾದ್ ಉಪ್ಪುಲೆ
I feel light,ಯೆಂಕ್ ಲೈಟ್ ಫೀಲ್ ಆಪುಂಡು
He is lazy,ಆರ್ ಸೋಮಾರಿ
They are angry,ಅಕುಲು ಕೋಪೊಡು ಉಲ್ಲೆರ್
We must stop,ನಮ ಉಂತೋಡು
You are near,ಈರ್ ಕೈತಲ್ ಉಲ್ಲ
I am quick,ಯನ್ ಬೇಗ
We are clean,ನಮ ಸ್ವಚ್ಛ ಉಲ್ಲ
I feel hot,ಎಂಕ್ ಬಿಸಿ ಆಪುಂಡು
We must wait,ನಮ ನಿರೀಕ್ಷೆ ಮಲ್ಪೊಡು
You come fast,ಈರ್ ಬೇಗ ಬರ್ಪರ್
You are ready,ಈರ್ ತಯಾರ್ ಉಲ್ಲರ್
He is quick,ಆರ್ ಬೇಗ
They are busy,ಅಕುಲು ಬಿಜಿ ಉಲ್ಲೆರ್
We must sleep,ನಮ ನಿದ್ರೆ ಮಲ್ಪೊಡು
You stay fine,ಈರ್ ಎಡ್ಡೆ ಉಪ್ಪಡ್
I am cold,ಎಂಕ್ ಚಳಿ ಉಂಡು
He is fair,ಆರ್ ನ್ಯಾಯಯುತ
She is tired,ಅಲೆಗ್ ದಣಿದ್ಂಡ್
We must run,ನಮ ಓಡೊಡು
He is good,ಆರ್ ಎಡ್ಡೆ
They are tall,ಅವು ಎತ್ತರ ಉಪ್ಪುಂಡು
You must be happy,ಈರ್ ಸಂತೋಷೊಡು ಉಪ್ಪೊಡು
I need to clean my room,ಎಂಕ್ ಎನ್ನ ಕೋಣೆನ್ ಸ್ವಚ್ಛ ಮಲ್ಪೊಡು
You have a big house,ನಿಕ್ಲೆಗ್ ಮಲ್ಲ ಇಲ್ಲ್ ಉಂಡು
You have a beautiful home,ನಿಕ್ಲೆಗ್ ಒಂಜಿ ಪೊರ್ಲುದ ಇಲ್ಲ್ ಉಂಡು
I am cutting down on sweets,ಯಾನ್ ಸಿಹಿತಿಂಡಿಲೆನ್ ಕಮ್ಮಿ ಮಲ್ತೊಂದುಲ್ಲೆ
Somebody help me,ಒರಿ ಎಂಕ್ ಸಹಾಯ ಮಲ್ಪುಲೆ
Go sit on the roof,ಪೋದು ಛಾವಣಿಡ್ ಕುಲ್ಲುಲೆ
That was last week,ಅವು ಕಡೆತ ವಾರ
You are the best person I know,ಈರ್ ಎಂಕ್ ಗೊತ್ತಿತ್ತಿನ ಎಡ್ಡೆ ವ್ಯಕ್ತಿ
Dont even look at me,ಎಂಕ್ಲೆನ್ ತೂವೊಂದಿಜ್ಜಿ
She was born to dance,ಅಲೆನ್ ನಲಿಪಾಯೆರೆ ಪುಟ್ಟುದು ಬೈದೆರ್
That is not a pencil,ಅವು ಒಂಜಿ ಪೆನ್ಸಿಲ್ ಅತ್ತ್
Wash your hands before cooking,ಅಡುಗೆ ಮಲ್ಪುನ ದುಂಬು ಕೈ ತೊಳೆಯೊಡು
Pass me the spoon,ಚಮಚೊನು ಎಂಕ್ ಕೊರ್ಲೆ
Chop the onions finely,ಈರುಳ್ಳಿನ್ ಮೃದುವಾದ್ ಕಡ್ಪುಲೆ
Peel the potatoes,ಆಲೂಗಡ್ಡೆನ್ ಸಿಪ್ಪೆ ದೆಪ್ಪುಲೆ
Add some salt,ಒಂತೆ ಉಪ್ಪು ಪಾಡ್ಲೆ
Taste the soup,ಸೂಪ್ ರುಚಿ ತೂಲೆ
Dont spill the milk,ಹಾಲು ಸುರಿಯೊಡ್ಚಿ
Boil the water,ನೀರ್ ಕುದಿಪಾಲೆ
Turn off the stove,ಸ್ಟೌವ್ ನ್ ಆಫ್ ಮಲ್ಪುಲೆ
Put the dishes in the sink,ಪಾತ್ರೆಲೆನ್ ಸಿಂಕ್ ಡ್ ಪಾಡ್ಲೆ
Serve the food hot,ತಿನ್ಪಿನ್ ಬಿಸಿ ಬಿಸಿಡ್ ಸರ್ವ್ ಮಲ್ಪುಲೆ
Wash the vegetables,ತರಕಾರಿಲೆನ್ ತೊಳೆಯೊಡು
Peel and crush the garlic,ಬೆಳ್ಳುಳ್ಳಿನ್ ಸಿಪ್ಪೆ ದೆತ್ತ್ ದ್ ಪುಡಿ ಮಲ್ಪುಲೆ
Add some lemon juice,ಒಂತೆ ನಿಂಬೆ ರಸ ಪಾಡ್ಲೆ
Break the egg carefully,ಮೊಟ್ಟೆನ್ ಎಚ್ಚ ಜಾಗ್ರತೆಡ್ ಮುರಿಲೆ
Add a pinch of sugar,ಒಂಜಿ ಪಿಂಚ್ ಸಕ್ಕರೆ ಪಾಡ್ಲೆ
Roll the chapati,ಚಪತಿನ್ ರೋಲ್ ಮಲ್ಪುಲೆ
Let it cool,ತಂಪು ಆಯೆರೆ ಬುಡ್ಲೆ
Increase the flame,ಜ್ವಾಲೆನ್ ಜಾಸ್ತಿ ಮಲ್ಪುಲೆ
Keep stirring,ಗೊಬ್ಬೊಂದು ಇಪ್ಪುಲೆ
Dont burn the garlic,ಬೆಳ್ಳುಳ್ಳಿನ್ ಸುಡಂದೆ
Bring me a plate,ಎಂಕ್ ಒಂಜಿ ತಟ್ಟೆನ್ ಕನಲೆ
Pour the juice,ರಸ ಪಾಡ್ಲೆ
Serve the salad,ಸಲಾಡ್ ನ್ ಸರ್ವ್ ಮಲ್ಪುಲೆ
Place the curry on the table,ಕಜಿಪುನ್ ಮೇಜಿದ ಮಿತ್ತ್ ದೀಲೆ
Pass me the salt please,ದಯಮಲ್ತ್ ಉಪ್ಪುನ್ ಎಂಕ್ ಕೊರ್ಲೆ
Take some more rice,ಒಂತೆ ಅರಿ ದೆತೊಲೆ
Use a knife carefully,ಒಂಜಿ ಚಾಕುನು ಎಚ್ಚರೊಡು ಬಳಕೆ ಮಲ್ಪುಲೆ
Eat slowly,ನಿಧಾನವಾದ್ ತಿನ್ಲೆ
Finish your vegetables,ನಿಕ್ಲೆನ ತರಕಾರಿಲೆನ್ ಮುಗಿಪಾಲೆ
Enjoy your meal,ನಿಕ್ಲೆನ ಊಟೊನು ಎಂಜಾಯ್ ಮಲ್ಪುಲೆ
The food smells great,ತಿನ್ಪಿನವು ಎಡ್ಡೆ ವಾಸನೆ ಬರ್ಪುಂಡು
Wash the dishes,ಪಾತ್ರೆಲೆನ್ ತೊಳೆಯೊಡು
Wipe the table,ಮೇಜಿನ್ ಒರೆಸೊಡು
Clean the sink,ಸಿಂಕ್ ನ್ ಸ್ವಚ್ಛ ಮಲ್ಪುಲೆ
Cover the food,ಊಟೊನು ಮುಚ್ಚುಲೆ
Put the leftovers in the fridge,ಉಳಿಯಿನ ನುಪ್ಪುಲೆನ್ ಫ್ರಿಜ್ ಡ್ ಪಾಡ್ಲೆ
Dry the plates,ಪ್ಲೇಟ್ ಲೆನ್ ಒರಿಪಾಲೆ
Sweep the kitchen floor,ಅಡುಗೆಮನೆತ ನೆಲನ್ ಸ್ವೀಪ್ ಮಲ್ಪುಲೆ
Dont waste water,ನೀರ್ ವ್ಯರ್ಥ ಮಲ್ಪುಜೆರ್
Dont leave dirty plates,ಕೊಳಕು ತಟ್ಟೆಲೆನ್ ಬುಡ್ದು ಪೋವೊಂದಿಜ್ಜಿ
Take the strainer,ಸ್ಟ್ರೇನರ್ ದೆತೊನ್ಲೆ
Switch on the mixer,ಮಿಕ್ಸರ್ ನ್ ಆನ್ ಮಲ್ಪುಲೆ
Put the kettle on,ಕೆಟಲ್ ನ್ ಪಾಡ್ಲೆ
Get me a clean bowl,ಎಂಕ್ ಒಂಜಿ ಸ್ವಚ್ಛ ಬಾಜನೊನು ಕೊರ್ಲೆ
The curry is too spicy,ಕಜಿಪು ಮಸ್ತ್ ಖಾರ ಉಂಡು
This dish is too salty,ಈ ಖಾದ್ಯ ಮಸ್ತ್ ಉಪ್ಪು ಉಂಡು
The chicken is overcooked,ಕೋರಿ ಜಾಸ್ತಿ ಬೆಯ್ತ್ಂಡ್
The pasta is undercooked,ಪಾಸ್ತಾ ಕಮ್ಮಿ ಬೇಯಿತ್ಂಡ್
The food is delicious,ಊಟ ರುಚಿಯಾದ್ ಉಂಡು
Make the curry,ಕಜಿಪು ಮಲ್ಪುಲೆ
Can you drop me here,ಈರ್ ಎಂಕ್ ಮುಲ್ಪ ಬುಡ್ಪಾವೊಲಿ
Please drive safely,ದಯಮಲ್ತ್ ಸುರಕ್ಷಿತವಾದ್ ಡ್ರೈವ್ ಮಲ್ಪುಲೆ
Is it far from here,ಉಂದು ಇಲ್ಲಡ್ದ್ ದೂರ ಉಂಡಾ
How much will it cost,ಉಂದೆಕ್ ಎಂಚ ಖರ್ಚು ಆಪುಂಡು
Do you accept online payment,ಈರ್ ಆನ್ ಲೈನ್ ಪಾವತಿನ್ ಸ್ವೀಕಾರ ಮಲ್ಪುಲೆ
Please stop here,ದಯಮಲ್ತ್ ಮುಲ್ಪ ನಿಲೆ ಆಲೆ
Where does this bus go,ಈ ಬಸ್ ಓಲು ಪೋಪುಂಡು
What time is the next bus,ದುಂಬುದ ಬಸ್ ಏತ್ ಗಂಟೆಗ್ ಬರ್ಪುಂಡು
Where can I buy a ticket,ಯಾನ್ ಒಂಜಿ ಟಿಕೆಟ್ ನ್ ಎಲ್ಲಿ ದೆತೊನೊಲಿ
Is this seat reserved,ಈ ಸೀಟ್ ಮೀಸಲಾತಿ ಉಂಡಾ
Can you show me on the map,ಈರ್ ಎಂಕ್ ನಕ್ಷೆಡ್ ತೋಜಾವೊಲಿ
What do you recommend,ಈರ್ ದಾದ ಶಿಫಾರಸ್ ಮಲ್ಪುಲೆ
Can I have the bill please,ದಯಮಲ್ತ್ ಬಿಲ್ ದೆತೊನೊಲಿಯಾ
How much does this cost,ಉಂದೆಕ್ ಎಂಚ ಖರ್ಚು ಆಪುಂಡು
I lost my passport,ಎಂಕ್ ಎನ್ನ ಪಾಸ್ ಪೋರ್ಟ್ ಕಳೆವೊಂಡೆ
Can you take a photo of me,ಎಂಕ್ಲೆನ ಒಂಜಿ ಫೋಟೋ ದೆತೊನೊಲಿಯಾ
What is the best time to visit this place,ಈ ಜಾಗೆಗ್ ಪೋಯೆರೆ ಎಡ್ಡೆ ಸಮಯ ದಾದ
I am here for tourism,ಯಾನ್ ಪ್ರವಾಸೋದ್ಯಮೊಗು ಉಲ್ಲೆ
How much is the entrance fee,ಪ್ರವೇಶ ಶುಲ್ಕ ಎಂಚ ಉಂಡು
Can I take pictures here,ಯಾನ್ ಮುಲ್ಪ ಚಿತ್ರೊಲೆನ್ ದೆತೊನೊಲಿ
How long will it take to walk there,ಅಲ್ಪ ನಡಪೆರೆ ಎಂಚ ಸಮಯ ಬೋಡು
Sorry  I am late,ಕ್ಷಮೆ ಮಲ್ಪುಲೆ ಎಂಕ್ ತಡ ಆಂಡ್
Please repeat once more,ದಯಮಲ್ತ್ ಒಂಜಿ ಸರ್ತಿ ಪುನರಾವರ್ತಿಸಲೆ
When is the assignment due,ನಿಯೋಜನೆ ಏಪ ಮಲ್ಪೊಡು
Can I borrow your notes,ನಿಕ್ಲೆನ ಟಿಪ್ಪಣಿಲೆನ್ ಎಂಕ್ ಎರವಲು ದೆತೊನೊಲಿ
Are we having a test today,ಇನಿ ನಮ ಒಂಜಿ ಪರೀಕ್ಷೆ ಮಲ್ತೊಂದುಲ್ಲ
Can I leave early today,ಇನಿ ದುಂಬು ಪೋವೊಲಿಯಾ
Do we have a class tomorrow,ನಾಳೆ ನಮಕ್ ಕ್ಲಾಸ್ ಉಂಡಾ
Is attendance compulsory,ಹಾಜರಾತಿ ಕಡ್ಡಾಯ ಉಂಡಾ
Can I ask a question,ಯಾನ್ ಒಂಜಿ ಪ್ರಶ್ನೆ ಕೇನೊಲಿ
Where is the seminar hall,ಸೆಮಿನಾರ್ ಹಾಲ್  ಒಲುಂಡು
Where is the notice board,ನೋಟಿಸ್ ಬೋರ್ಡ್ ಒಲುಂಡು
How do I apply for a leave,ರಜೆಗ್ ಎಂಚ ಅರ್ಜಿ ಸಲ್ಲಿಸೊಲಿ
Who is the class representative,ವರ್ಗದ ಪ್ರತಿನಿಧಿ ಯೆರ್
Is this important for the exam,ಪರೀಕ್ಷೆಗ್ ಉಂದು ಮುಖ್ಯವಾ
Where can I collect my hall ticket,ಎಂಕ್ ಎನ್ನ ಹಾಲ್ ಟಿಕೆಟ್ ನ್ ಎಲ್ಲಿಡ್ದ್ ದೆತೊನೊಲಿ
Best wishes on your wedding day,ನಿಕ್ಲೆನ ಮದಿಮೆದ ದಿನೊತ ಶುಭಾಶಯೊಲು
You both look perfect together,ಈರ್ ರಡ್ಡ್ ಜನಲಾ ಒಟ್ಟುಗು ಪರಿಪೂರ್ಣವಾದ್ ತೋಜುಂಡು
Enjoy the party,ಪಾರ್ಟಿನ್ ಎಂಜಾಯ್ ಮಲ್ಪುಲೆ
The decorations are beautiful,ಅಲಂಕಾರೊಲು ಪೊರ್ಲು ಉಂಡು
The dance floor is open,ನಲಿಕೆದ ಮೈದಾನ ತೆರೆದಿತ್ತ್ಂಡ್ .
Happy married life,ಸುಖದ ಮದಿಮೆದ ಜೀವನ
The groom looks so handsome,ಮದಿಮಾಯೆ ಮಸ್ತ್ ಪೊರ್ಲು ತೋಜುಂಡು
The music is amazing,ಸಂಗೀತ ಅದ್ಭುತವಾಯಿನವು
You both look so happy,ನಿಕುಲು ರಡ್ಡ್ ಜನಲಾ ಮಸ್ತ್ ಸಂತೋಷೊಡು ತೋಜುಲೆ
Please hurry up,ದಯಮಲ್ತ್ ಬೇಗ ಮಲ್ಪುಲೆ
check the quality,ಗುಣಮಟ್ಟೊನು ತೂಲೆ
No bargaining fixed price,ನಿಶ್ಚಿತ ಬೆಲೆ ಚೌಕಾಸಿ ಇಜ್ಜಿ
Can I get a carry bag,ಯಾನ್ ಒಂಜಿ ಕ್ಯಾರಿ ಬ್ಯಾಗ್ ದೆತೊನೊಲಿಯಾ
